listing_age,host_age,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,neighbourhood_cleansed,property_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,listing_age.1,mean_PriceRange_0.5,restaurants_cnt_0.5,mean_review_cnt_0.5,mean_starts_avg_0.5,mean_PriceRange_1,restaurants_cnt_1,mean_review_cnt_1,mean_starts_avg_1,mean_PriceRange_1.5,restaurants_cnt_1.5,mean_review_cnt_1.5,mean_starts_avg_1.5,mean_PriceRange_2,restaurants_cnt_2,mean_review_cnt_2,mean_starts_avg_2,mean_PriceRange_2.5,restaurants_cnt_2.5,mean_review_cnt_2.5,mean_starts_avg_2.5,mean_PriceRange_3,restaurants_cnt_3,mean_review_cnt_3,mean_starts_avg_3
12.64109589,12.71506849,3,100,0,1,0,1,District 6,private room,2,1,2,3,40,30,365,199,674,0,4.95,4.94,4.96,4.97,4.96,4.92,4.98,0,12.64109589,1.75,8,171.625,4.286665696,1.307086614,127,145.8740157,4.198330597,1.292576419,229,153.371179,4.068390604,1.256055363,289,132.8269896,3.97667673,1.352941176,578,159.7525952,3.832052851,1.316617502,1017,140.2772861,3.833874016
5.254794521,11.42465753,3,100,54,1,2,1,District 18,private room,2,1,1,1,60,1,29,233,267,5,4.94,4.97,4.96,4.99,4.98,4.94,4.94,0,5.254794521,2,1,50,4.18,1.9,30,133.3,3.605362355,1.615384615,325,131.1630769,3.612799494,1.556131261,579,124.6666667,3.577580574,1.516166282,866,127.8337182,3.606547886,1.479238754,1156,135.449827,3.667030016
10.53150685,11.41643836,1,100,100,1,1,1,District 18,house,4,1,2,2,81,2,30,30,607,5,4.9,4.89,4.8,4.98,4.99,4.96,4.88,0,10.53150685,1.7125,80,172.4,3.627157352,1.56969697,165,182.8727273,3.719915366,1.524886878,442,159.0475113,3.597685381,1.54875,800,156.23875,3.611028294,1.481116585,1218,152.1600985,3.671510807,1.435881238,1583,142.5818067,3.679601643
10.02191781,12.50410959,1,100,46,1,13,1,District 12,private room,2,1,1,2,36,30,365,354,96,0,4.77,4.81,4.4,4.92,4.9,4.74,4.73,0,10.02191781,2,1,13,4,1.5,2,17,3.095238095,1.5,2,17,3.095238095,1.5,2,17,3.095238095,1.0625,16,41.5625,3.226737762,1.111111111,27,49.2962963,3.35651716
9.978082192,12.50410959,1,100,46,1,13,1,District 12,private room,1,1,1,3,34,30,365,354,76,0,4.71,4.75,4.27,4.83,4.78,4.47,4.69,0,9.978082192,2,1,13,4,1.5,2,17,3.095238095,1.5,2,17,3.095238095,1.5,6,40.33333333,3.219474367,1.12,25,52.08,3.345419486,1.172413793,29,47.51724138,3.333874286
9.863013699,12.50410959,1,100,46,1,13,1,District 12,private room,3,1,1,5,39,30,365,365,48,0,4.73,4.6,4.43,4.77,4.68,4.62,4.57,0,9.863013699,2,1,13,4,1.5,2,17,3.095238095,1.5,2,17,3.095238095,1.333333333,3,24,3.054720134,1.083333333,24,50.29166667,3.339636526,1.172413793,29,47.51724138,3.333874286
9.830136986,9.882191781,1,98,99,1,7,1,District 19,house,2,1,1,1,92,2,30,108,1111,111,4.89,4.92,4.93,4.94,4.94,4.56,4.88,1,9.830136986,1.28,25,141.72,3.679043501,1.379518072,166,128.6807229,3.921110851,1.291866029,418,105.5909091,3.753930529,1.412524851,1006,156.3906561,3.678315403,1.398373984,1230,152.596748,3.692734232,1.390819672,1525,149.0386885,3.740342218
9.819178082,12.50410959,1,100,46,1,13,1,District 12,private room,3,1,1,3,34,30,365,351,77,0,4.84,4.75,4.5,4.88,4.96,4.63,4.87,0,9.819178082,2,1,13,4,2,1,13,4,1.5,2,17,3.095238095,1.5,2,17,3.095238095,1.0625,16,41.5625,3.226737762,1.111111111,27,49.2962963,3.35651716
9.520547945,9.975342466,3,100,95,1,1,1,District 6,private room,2,1,1,1,84,1,5,296,270,39,4.87,4.95,4.94,4.97,4.96,4.67,4.82,0,9.520547945,0,0,0,0,1.276119403,134,134.9179104,4.120510402,1.448571429,350,195.3657143,3.852310635,1.334620335,777,159.4247104,3.840422781,1.346118721,1095,155.6986301,3.840750027,1.364914878,1351,154.8956329,3.812514363
9.531506849,9.882191781,1,98,99,1,7,1,District 19,private room,2,1,1,1,76,2,60,38,893,86,4.95,4.97,4.98,4.97,4.96,4.79,4.93,1,9.531506849,1.448598131,107,136.5233645,3.933444349,1.289634146,328,113.0365854,3.856688304,1.404176904,814,165.0638821,3.702845629,1.408386509,1097,158.4175023,3.689512224,1.400147384,1357,155.173913,3.7252445,1.387690355,1576,148.8439086,3.738758701
